Year,Geo,StatVar,Quantity
2020,country/USA,Offense_Count_HateCrimeIncidents,11129
2020,country/USA,Offense_Count_HateCrimeIncidents_MurderAndNonNegligentManslaughter,22
2020,country/USA,Offense_Count_HateCrimeIncidents_ForcibleRape,21
2020,country/USA,Offense_Count_HateCrimeIncidents_AggravatedAssault,1390
2020,country/USA,Offense_Count_HateCrimeIncidents_SimpleAssault,2166
2020,country/USA,Offense_Count_HateCrimeIncidents_Intimidation,4119
2020,country/USA,Offense_Count_HateCrimeIncidents_OtherCrimesAgainstPerson,32
2020,country/USA,Offense_Count_HateCrimeIncidents_Robbery,140
2020,country/USA,Offense_Count_HateCrimeIncidents_Burglary,132
2020,country/USA,Offense_Count_HateCrimeIncidents_LarcenyTheft,362
2020,country/USA,Offense_Count_HateCrimeIncidents_MotorVehicleTheft,34
2020,country/USA,Offense_Count_HateCrimeIncidents_Arson,67
2020,country/USA,Offense_Count_HateCrimeIncidents_DestructionOrDamageOrVandalismOfProperty,2333
2020,country/USA,Offense_Count_HateCrimeIncidents_OtherCrimesAgainstProperty,79
2020,country/USA,Offense_Count_HateCrimeIncidents_CrimeAgainstSociety,232
2020,geoId/01,Offense_Count_HateCrimeIncidents,33
2020,geoId/01,Offense_Count_HateCrimeIncidents_MurderAndNonNegligentManslaughter,0
2020,geoId/01,Offense_Count_HateCrimeIncidents_ForcibleRape,0
2020,geoId/01,Offense_Count_HateCrimeIncidents_AggravatedAssault,2
2020,geoId/01,Offense_Count_HateCrimeIncidents_SimpleAssault,3
2020,geoId/01,Offense_Count_HateCrimeIncidents_Intimidation,4
2020,geoId/01,Offense_Count_HateCrimeIncidents_OtherCrimesAgainstPerson,0
2020,geoId/01,Offense_Count_HateCrimeIncidents_Robbery,0
2020,geoId/01,Offense_Count_HateCrimeIncidents_Burglary,2
2020,geoId/01,Offense_Count_HateCrimeIncidents_LarcenyTheft,3
2020,geoId/01,Offense_Count_HateCrimeIncidents_MotorVehicleTheft,0
2020,geoId/01,Offense_Count_HateCrimeIncidents_Arson,0
2020,geoId/01,Offense_Count_HateCrimeIncidents_DestructionOrDamageOrVandalismOfProperty,4
2020,geoId/01,Offense_Count_HateCrimeIncidents_OtherCrimesAgainstProperty,1
2020,geoId/01,Offense_Count_HateCrimeIncidents_CrimeAgainstSociety,14
2020,geoId/02,Offense_Count_HateCrimeIncidents,10
2020,geoId/02,Offense_Count_HateCrimeIncidents_MurderAndNonNegligentManslaughter,0
2020,geoId/02,Offense_Count_HateCrimeIncidents_ForcibleRape,1
2020,geoId/02,Offense_Count_HateCrimeIncidents_AggravatedAssault,5
2020,geoId/02,Offense_Count_HateCrimeIncidents_SimpleAssault,3
2020,geoId/02,Offense_Count_HateCrimeIncidents_Intimidation,0
2020,geoId/02,Offense_Count_HateCrimeIncidents_OtherCrimesAgainstPerson,0
2020,geoId/02,Offense_Count_HateCrimeIncidents_Robbery,1
2020,geoId/02,Offense_Count_HateCrimeIncidents_Burglary,0
2020,geoId/02,Offense_Count_HateCrimeIncidents_LarcenyTheft,0
2020,geoId/02,Offense_Count_HateCrimeIncidents_MotorVehicleTheft,0
2020,geoId/02,Offense_Count_HateCrimeIncidents_Arson,0
2020,geoId/02,Offense_Count_HateCrimeIncidents_DestructionOrDamageOrVandalismOfProperty,0
2020,geoId/02,Offense_Count_HateCrimeIncidents_OtherCrimesAgainstProperty,0
2020,geoId/02,Offense_Count_HateCrimeIncidents_CrimeAgainstSociety,0
2020,geoId/04,Offense_Count_HateCrimeIncidents,332
2020,geoId/04,Offense_Count_HateCrimeIncidents_MurderAndNonNegligentManslaughter,2
2020,geoId/04,Offense_Count_HateCrimeIncidents_ForcibleRape,0
2020,geoId/04,Offense_Count_HateCrimeIncidents_AggravatedAssault,54
2020,geoId/04,Offense_Count_HateCrimeIncidents_SimpleAssault,93
2020,geoId/04,Offense_Count_HateCrimeIncidents_Intimidation,99
2020,geoId/04,Offense_Count_HateCrimeIncidents_OtherCrimesAgainstPerson,3
2020,geoId/04,Offense_Count_HateCrimeIncidents_Robbery,1
2020,geoId/04,Offense_Count_HateCrimeIncidents_Burglary,5
2020,geoId/04,Offense_Count_HateCrimeIncidents_LarcenyTheft,5
2020,geoId/04,Offense_Count_HateCrimeIncidents_MotorVehicleTheft,0
2020,geoId/04,Offense_Count_HateCrimeIncidents_Arson,3
2020,geoId/04,Offense_Count_HateCrimeIncidents_DestructionOrDamageOrVandalismOfProperty,62
2020,geoId/04,Offense_Count_HateCrimeIncidents_OtherCrimesAgainstProperty,1
2020,geoId/04,Offense_Count_HateCrimeIncidents_CrimeAgainstSociety,4
2020,geoId/05,Offense_Count_HateCrimeIncidents,22
2020,geoId/05,Offense_Count_HateCrimeIncidents_MurderAndNonNegligentManslaughter,0
2020,geoId/05,Offense_Count_HateCrimeIncidents_ForcibleRape,0
2020,geoId/05,Offense_Count_HateCrimeIncidents_AggravatedAssault,6
2020,geoId/05,Offense_Count_HateCrimeIncidents_SimpleAssault,2
2020,geoId/05,Offense_Count_HateCrimeIncidents_Intimidation,7
2020,geoId/05,Offense_Count_HateCrimeIncidents_OtherCrimesAgainstPerson,0
2020,geoId/05,Offense_Count_HateCrimeIncidents_Robbery,0
2020,geoId/05,Offense_Count_HateCrimeIncidents_Burglary,0
2020,geoId/05,Offense_Count_HateCrimeIncidents_LarcenyTheft,0
2020,geoId/05,Offense_Count_HateCrimeIncidents_MotorVehicleTheft,0
2020,geoId/05,Offense_Count_HateCrimeIncidents_Arson,0
