Year,StatVar,Quantity
2020,Count_CriminalIncidents_IsHateCrime,8263
2020,Offense_Count_HateCrimeIncidents,11129
2020,Victim_Count_HateCrimeIncidents,11472
2020,Offender_Count_HateCrimeIncidents_KnownOffender,6780
2020,Count_HateCrimeIncidents_BiasMotivationSingleBias,8052
2020,Offense_Count_HateCrimeIncidents_BiasMotivationSingleBias,10790
2020,Victim_Count_HateCrimeIncidents_BiasMotivationSingleBias,11126
2020,Offender_Count_HateCrimeIncidents_BiasMotivationSingleBias_KnownOffender,6657
2020,Count_HateCrimeIncidents_BiasMotivationRaceOrEthnicity,5227
2020,Offense_Count_HateCrimeIncidents_BiasMotivationRaceOrEthnicity,6677
2020,Victim_Count_HateCrimeIncidents_BiasMotivationRaceOrEthnicity,6880
2020,Offender_Count_HateCrimeIncidents_BiasMotivationRaceOrEthnicity_KnownOffender,4339
2020,Count_HateCrimeIncidents_TargetedRaceWhiteAlone,869
2020,Offense_Count_HateCrimeIncidents_TargetedRaceWhiteAlone,1048
2020,Victim_Count_HateCrimeIncidents_TargetedRaceWhiteAlone,1082
2020,Offender_Count_HateCrimeIncidents_KnownOffender_TargetedRaceWhiteAlone,825
2020,Count_HateCrimeIncidents_TargetedRaceBlackOrAfricanAmericanAlone,2871
2020,Offense_Count_HateCrimeIncidents_TargetedRaceBlackOrAfricanAmericanAlone,3819
2020,Victim_Count_HateCrimeIncidents_TargetedRaceBlackOrAfricanAmericanAlone,3915
2020,Offender_Count_HateCrimeIncidents_KnownOffender_TargetedRaceBlackOrAfricanAmericanAlone,2302
2020,Count_HateCrimeIncidents_TargetedRaceAmericanIndianOrAlaskaNativeAlone,96
2020,Offense_Count_HateCrimeIncidents_TargetedRaceAmericanIndianOrAlaskaNativeAlone,103
2020,Victim_Count_HateCrimeIncidents_TargetedRaceAmericanIndianOrAlaskaNativeAlone,108
2020,Offender_Count_HateCrimeIncidents_KnownOffender_TargetedRaceAmericanIndianOrAlaskaNativeAlone,74
2020,Count_HateCrimeIncidents_TargetedRaceAsianAlone,279
2020,Offense_Count_HateCrimeIncidents_TargetedRaceAsianAlone,330
2020,Victim_Count_HateCrimeIncidents_TargetedRaceAsianAlone,342
2020,Offender_Count_HateCrimeIncidents_KnownOffender_TargetedRaceAsianAlone,239
2020,Count_HateCrimeIncidents_TargetedRaceNativeHawaiianOrOtherPacificIslanderAlone,15
2020,Offense_Count_HateCrimeIncidents_TargetedRaceNativeHawaiianOrOtherPacificIslanderAlone,15
2020,Victim_Count_HateCrimeIncidents_TargetedRaceNativeHawaiianOrOtherPacificIslanderAlone,18
2020,Offender_Count_HateCrimeIncidents_KnownOffender_TargetedRaceNativeHawaiianOrOtherPacificIslanderAlone,12
2020,Count_HateCrimeIncidents_TargetedRaceTwoOrMoreRaces,211
2020,Offense_Count_HateCrimeIncidents_TargetedRaceTwoOrMoreRaces,270
2020,Victim_Count_HateCrimeIncidents_TargetedRaceTwoOrMoreRaces,281
2020,Offender_Count_HateCrimeIncidents_KnownOffender_TargetedRaceTwoOrMoreRaces,114
2020,Count_HateCrimeIncidents_TargetedRaceArab,71
2020,Offense_Count_HateCrimeIncidents_TargetedRaceArab,85
2020,Victim_Count_HateCrimeIncidents_TargetedRaceArab,87
2020,Offender_Count_HateCrimeIncidents_KnownOffender_TargetedRaceArab,52
2020,Count_HateCrimeIncidents_TargetedEthnicityHispanicOrLatino,517
2020,Offense_Count_HateCrimeIncidents_TargetedEthnicityHispanicOrLatino,664
2020,Victim_Count_HateCrimeIncidents_TargetedEthnicityHispanicOrLatino,693
2020,Offender_Count_HateCrimeIncidents_KnownOffender_TargetedEthnicityHispanicOrLatino,525
2020,Count_HateCrimeIncidents_TargetedEthnicityNotHispanicOrLatino,298
2020,Offense_Count_HateCrimeIncidents_TargetedEthnicityNotHispanicOrLatino,343
2020,Victim_Count_HateCrimeIncidents_TargetedEthnicityNotHispanicOrLatino,354
2020,Offender_Count_HateCrimeIncidents_KnownOffender_TargetedEthnicityNotHispanicOrLatino,196
2020,Count_HateCrimeIncidents_BiasMotivationReligion,1244
2020,Offense_Count_HateCrimeIncidents_BiasMotivationReligion,1402
2020,Victim_Count_HateCrimeIncidents_BiasMotivationReligion,1481
2020,Offender_Count_HateCrimeIncidents_BiasMotivationReligion_KnownOffender,814
2020,Count_HateCrimeIncidents_TargetedReligionJudaism,683
2020,Offense_Count_HateCrimeIncidents_TargetedReligionJudaism,794
2020,Victim_Count_HateCrimeIncidents_TargetedReligionJudaism,831
2020,Offender_Count_HateCrimeIncidents_KnownOffender_TargetedReligionJudaism,401
2020,Count_HateCrimeIncidents_TargetedReligionCatholicism,73
2020,Offense_Count_HateCrimeIncidents_TargetedReligionCatholicism,77
2020,Victim_Count_HateCrimeIncidents_TargetedReligionCatholicism,80
2020,Offender_Count_HateCrimeIncidents_KnownOffender_TargetedReligionCatholicism,47
2020,Count_HateCrimeIncidents_TargetedReligionProtestantism,30
2020,Offense_Count_HateCrimeIncidents_TargetedReligionProtestantism,31
2020,Victim_Count_HateCrimeIncidents_TargetedReligionProtestantism,32
2020,Offender_Count_HateCrimeIncidents_KnownOffender_TargetedReligionProtestantism,26
2020,Count_HateCrimeIncidents_TargetedReligionIslam,110
2020,Offense_Count_HateCrimeIncidents_TargetedReligionIslam,126
2020,Victim_Count_HateCrimeIncidents_TargetedReligionIslam,131
2020,Offender_Count_HateCrimeIncidents_KnownOffender_TargetedReligionIslam,126
2020,Count_HateCrimeIncidents_TargetedReligionOtherReligion,76
2020,Offense_Count_HateCrimeIncidents_TargetedReligionOtherReligion,85
2020,Victim_Count_HateCrimeIncidents_TargetedReligionOtherReligion,105
2020,Offender_Count_HateCrimeIncidents_KnownOffender_TargetedReligionOtherReligion,44
2020,Count_HateCrimeIncidents_TargetedReligionMultipleReligion,40
2020,Offense_Count_HateCrimeIncidents_TargetedReligionMultipleReligion,44
2020,Victim_Count_HateCrimeIncidents_TargetedReligionMultipleReligion,49
2020,Offender_Count_HateCrimeIncidents_KnownOffender_TargetedReligionMultipleReligion,19
2020,Count_HateCrimeIncidents_TargetedReligionMormonism,7
2020,Offense_Count_HateCrimeIncidents_TargetedReligionMormonism,8
2020,Victim_Count_HateCrimeIncidents_TargetedReligionMormonism,8
2020,Offender_Count_HateCrimeIncidents_KnownOffender_TargetedReligionMormonism,7
2020,Count_HateCrimeIncidents_TargetedReligionJehovahsWitnesses,9
2020,Offense_Count_HateCrimeIncidents_TargetedReligionJehovahsWitnesses,10
2020,Victim_Count_HateCrimeIncidents_TargetedReligionJehovahsWitnesses,10
2020,Offender_Count_HateCrimeIncidents_KnownOffender_TargetedReligionJehovahsWitnesses,3
2020,Count_HateCrimeIncidents_TargetedReligionEasternChristianity,43
2020,Offense_Count_HateCrimeIncidents_TargetedReligionEasternChristianity,43
2020,Victim_Count_HateCrimeIncidents_TargetedReligionEasternChristianity,43
2020,Offender_Count_HateCrimeIncidents_KnownOffender_TargetedReligionEasternChristianity,30
2020,Count_HateCrimeIncidents_TargetedReligionOtherChristian,50
2020,Offense_Count_HateCrimeIncidents_TargetedReligionOtherChristian,56
2020,Victim_Count_HateCrimeIncidents_TargetedReligionOtherChristian,62
2020,Offender_Count_HateCrimeIncidents_KnownOffender_TargetedReligionOtherChristian,27
2020,Count_HateCrimeIncidents_TargetedReligionBuddhism,15
2020,Offense_Count_HateCrimeIncidents_TargetedReligionBuddhism,16
2020,Victim_Count_HateCrimeIncidents_TargetedReligionBuddhism,16
2020,Offender_Count_HateCrimeIncidents_KnownOffender_TargetedReligionBuddhism,14
2020,Count_HateCrimeIncidents_TargetedReligionHinduism,11
2020,Offense_Count_HateCrimeIncidents_TargetedReligionHinduism,11
2020,Victim_Count_HateCrimeIncidents_TargetedReligionHinduism,11
2020,Offender_Count_HateCrimeIncidents_KnownOffender_TargetedReligionHinduism,6
2020,Count_HateCrimeIncidents_TargetedReligionSikhism,89
2020,Offense_Count_HateCrimeIncidents_TargetedReligionSikhism,93
2020,Victim_Count_HateCrimeIncidents_TargetedReligionSikhism,94
2020,Offender_Count_HateCrimeIncidents_KnownOffender_TargetedReligionSikhism,59
2020,Count_HateCrimeIncidents_TargetedReligionAtheismOrAgnosticism,8
2020,Offense_Count_HateCrimeIncidents_TargetedReligionAtheismOrAgnosticism,8
2020,Victim_Count_HateCrimeIncidents_TargetedReligionAtheismOrAgnosticism,9
2020,Offender_Count_HateCrimeIncidents_KnownOffender_TargetedReligionAtheismOrAgnosticism,5
2020,Count_HateCrimeIncidents_BiasMotivationSexualOrientation,1110
2020,Offense_Count_HateCrimeIncidents_BiasMotivationSexualOrientation,2185
2020,Victim_Count_HateCrimeIncidents_BiasMotivationSexualOrientation,2229
2020,Offender_Count_HateCrimeIncidents_BiasMotivationSexualOrientation_KnownOffender,1043
2020,Count_HateCrimeIncidents_TargetedSexualOrientationGay,673
2020,Offense_Count_HateCrimeIncidents_TargetedSexualOrientationGay,770
2020,Victim_Count_HateCrimeIncidents_TargetedSexualOrientationGay,791
2020,Offender_Count_HateCrimeIncidents_KnownOffender_TargetedSexualOrientationGay,680
2020,Count_HateCrimeIncidents_TargetedSexualOrientationLesbian,103
2020,Offense_Count_HateCrimeIncidents_TargetedSexualOrientationLesbian,1021
2020,Victim_Count_HateCrimeIncidents_TargetedSexualOrientationLesbian,1026
2020,Offender_Count_HateCrimeIncidents_KnownOffender_TargetedSexualOrientationLesbian,89
2020,Count_HateCrimeIncidents_TargetedSexualOrientationLGBT,306
2020,Offense_Count_HateCrimeIncidents_TargetedSexualOrientationLGBT,363
2020,Victim_Count_HateCrimeIncidents_TargetedSexualOrientationLGBT,380
2020,Offender_Count_HateCrimeIncidents_KnownOffender_TargetedSexualOrientationLGBT,250
2020,Count_HateCrimeIncidents_TargetedSexualOrientationHeterosexual,11
2020,Offense_Count_HateCrimeIncidents_TargetedSexualOrientationHeterosexual,12
2020,Victim_Count_HateCrimeIncidents_TargetedSexualOrientationHeterosexual,13
2020,Offender_Count_HateCrimeIncidents_KnownOffender_TargetedSexualOrientationHeterosexual,10
2020,Count_HateCrimeIncidents_TargetedSexualOrientationBisexual,17
2020,Offense_Count_HateCrimeIncidents_TargetedSexualOrientationBisexual,19
2020,Victim_Count_HateCrimeIncidents_TargetedSexualOrientationBisexual,19
2020,Offender_Count_HateCrimeIncidents_KnownOffender_TargetedSexualOrientationBisexual,14
2020,Count_HateCrimeIncidents_BiasMotivationDisabilityStatus,130
2020,Offense_Count_HateCrimeIncidents_BiasMotivationDisabilityStatus,151
2020,Victim_Count_HateCrimeIncidents_BiasMotivationDisabilityStatus,152
2020,Offender_Count_HateCrimeIncidents_BiasMotivationDisabilityStatus_KnownOffender,117
2020,Count_HateCrimeIncidents_TargetedDisabilityStatusPhysicalDisability,53
2020,Offense_Count_HateCrimeIncidents_TargetedDisabilityStatusPhysicalDisability,60
2020,Victim_Count_HateCrimeIncidents_TargetedDisabilityStatusPhysicalDisability,60
2020,Offender_Count_HateCrimeIncidents_KnownOffender_TargetedDisabilityStatusPhysicalDisability,47
2020,Count_HateCrimeIncidents_TargetedDisabilityStatusMentalDisability,77
2020,Offense_Count_HateCrimeIncidents_TargetedDisabilityStatusMentalDisability,91
2020,Victim_Count_HateCrimeIncidents_TargetedDisabilityStatusMentalDisability,92
2020,Offender_Count_HateCrimeIncidents_KnownOffender_TargetedDisabilityStatusMentalDisability,70
2020,Count_HateCrimeIncidents_BiasMotivationGender,75
2020,Offense_Count_HateCrimeIncidents_BiasMotivationGender,81
2020,Victim_Count_HateCrimeIncidents_BiasMotivationGender,82
2020,Offender_Count_HateCrimeIncidents_BiasMotivationGender_KnownOffender,65
2020,Count_HateCrimeIncidents_TargetedGenderMale,25
2020,Offense_Count_HateCrimeIncidents_TargetedGenderMale,25
2020,Victim_Count_HateCrimeIncidents_TargetedGenderMale,25
2020,Offender_Count_HateCrimeIncidents_KnownOffender_TargetedGenderMale,24
2020,Count_HateCrimeIncidents_TargetedGenderFemale,50
2020,Offense_Count_HateCrimeIncidents_TargetedGenderFemale,56
2020,Victim_Count_HateCrimeIncidents_TargetedGenderFemale,57
2020,Offender_Count_HateCrimeIncidents_KnownOffender_TargetedGenderFemale,41
2020,Count_HateCrimeIncidents_TargetedGenderTransgenderOrGenderNonConforming,266
2020,Offense_Count_HateCrimeIncidents_TargetedGenderTransgenderOrGenderNonConforming,294
2020,Victim_Count_HateCrimeIncidents_TargetedGenderTransgenderOrGenderNonConforming,302
2020,Offender_Count_HateCrimeIncidents_KnownOffender_TargetedGenderTransgenderOrGenderNonConforming,279
2020,Count_HateCrimeIncidents_TargetedGenderTransgender,213
2020,Offense_Count_HateCrimeIncidents_TargetedGenderTransgender,237
2020,Victim_Count_HateCrimeIncidents_TargetedGenderTransgender,244
2020,Offender_Count_HateCrimeIncidents_KnownOffender_TargetedGenderTransgender,226
2020,Count_HateCrimeIncidents_TargetedGenderGenderNonConforming,53
2020,Offense_Count_HateCrimeIncidents_TargetedGenderGenderNonConforming,57
2020,Victim_Count_HateCrimeIncidents_TargetedGenderGenderNonConforming,58
2020,Offender_Count_HateCrimeIncidents_KnownOffender_TargetedGenderGenderNonConforming,53
2020,Count_HateCrimeIncidents_BiasMotivationMultipleBias,211
2020,Offense_Count_HateCrimeIncidents_BiasMotivationMultipleBias,339
2020,Victim_Count_HateCrimeIncidents_BiasMotivationMultipleBias,346
2020,Offender_Count_HateCrimeIncidents_BiasMotivationMultipleBias_KnownOffender,123
2019,Count_CriminalIncidents_IsHateCrime,7314
2019,Offense_Count_HateCrimeIncidents,8559
2019,Victim_Count_HateCrimeIncidents,8812
2019,Offender_Count_HateCrimeIncidents_KnownOffender,6406
2019,Count_HateCrimeIncidents_BiasMotivationSingleBias,7103
2019,Offense_Count_HateCrimeIncidents_BiasMotivationSingleBias,8302
2019,Victim_Count_HateCrimeIncidents_BiasMotivationSingleBias,8552
2019,Offender_Count_HateCrimeIncidents_BiasMotivationSingleBias_KnownOffender,6268
2019,Count_HateCrimeIncidents_BiasMotivationRaceOrEthnicity,3963
2019,Offense_Count_HateCrimeIncidents_BiasMotivationRaceOrEthnicity,4784
2019,Victim_Count_HateCrimeIncidents_BiasMotivationRaceOrEthnicity,4930
2019,Offender_Count_HateCrimeIncidents_BiasMotivationRaceOrEthnicity_KnownOffender,3550
2019,Count_HateCrimeIncidents_TargetedRaceWhiteAlone,666
2019,Offense_Count_HateCrimeIncidents_TargetedRaceWhiteAlone,755
2019,Victim_Count_HateCrimeIncidents_TargetedRaceWhiteAlone,775
2019,Offender_Count_HateCrimeIncidents_KnownOffender_TargetedRaceWhiteAlone,645
2019,Count_HateCrimeIncidents_TargetedRaceBlackOrAfricanAmericanAlone,1930
2019,Offense_Count_HateCrimeIncidents_TargetedRaceBlackOrAfricanAmericanAlone,2314
2019,Victim_Count_HateCrimeIncidents_TargetedRaceBlackOrAfricanAmericanAlone,2391
2019,Offender_Count_HateCrimeIncidents_KnownOffender_TargetedRaceBlackOrAfricanAmericanAlone,1682
2019,Count_HateCrimeIncidents_TargetedRaceAmericanIndianOrAlaskaNativeAlone,119
2019,Offense_Count_HateCrimeIncidents_TargetedRaceAmericanIndianOrAlaskaNativeAlone,126
2019,Victim_Count_HateCrimeIncidents_TargetedRaceAmericanIndianOrAlaskaNativeAlone,135
2019,Offender_Count_HateCrimeIncidents_KnownOffender_TargetedRaceAmericanIndianOrAlaskaNativeAlone,101
2019,Count_HateCrimeIncidents_TargetedRaceAsianAlone,158
2019,Offense_Count_HateCrimeIncidents_TargetedRaceAsianAlone,205
2019,Victim_Count_HateCrimeIncidents_TargetedRaceAsianAlone,215
2019,Offender_Count_HateCrimeIncidents_KnownOffender_TargetedRaceAsianAlone,153
2019,Count_HateCrimeIncidents_TargetedRaceNativeHawaiianOrOtherPacificIslanderAlone,21
2019,Offense_Count_HateCrimeIncidents_TargetedRaceNativeHawaiianOrOtherPacificIslanderAlone,25
2019,Victim_Count_HateCrimeIncidents_TargetedRaceNativeHawaiianOrOtherPacificIslanderAlone,26
2019,Offender_Count_HateCrimeIncidents_KnownOffender_TargetedRaceNativeHawaiianOrOtherPacificIslanderAlone,26
2019,Count_HateCrimeIncidents_TargetedRaceTwoOrMoreRaces,134
2019,Offense_Count_HateCrimeIncidents_TargetedRaceTwoOrMoreRaces,171
2019,Victim_Count_HateCrimeIncidents_TargetedRaceTwoOrMoreRaces,173
2019,Offender_Count_HateCrimeIncidents_KnownOffender_TargetedRaceTwoOrMoreRaces,82
2019,Count_HateCrimeIncidents_TargetedRaceArab,95
2019,Offense_Count_HateCrimeIncidents_TargetedRaceArab,122
2019,Victim_Count_HateCrimeIncidents_TargetedRaceArab,126
2019,Offender_Count_HateCrimeIncidents_KnownOffender_TargetedRaceArab,86
2019,Count_HateCrimeIncidents_TargetedEthnicityHispanicOrLatino,527
2019,Offense_Count_HateCrimeIncidents_TargetedEthnicityHispanicOrLatino,676
2019,Victim_Count_HateCrimeIncidents_TargetedEthnicityHispanicOrLatino,693
2019,Offender_Count_HateCrimeIncidents_KnownOffender_TargetedEthnicityHispanicOrLatino,547
2019,Count_HateCrimeIncidents_TargetedEthnicityNotHispanicOrLatino,313
2019,Offense_Count_HateCrimeIncidents_TargetedEthnicityNotHispanicOrLatino,390
2019,Victim_Count_HateCrimeIncidents_TargetedEthnicityNotHispanicOrLatino,396
2019,Offender_Count_HateCrimeIncidents_KnownOffender_TargetedEthnicityNotHispanicOrLatino,228
2019,Count_HateCrimeIncidents_BiasMotivationReligion,1521
2019,Offense_Count_HateCrimeIncidents_BiasMotivationReligion,1650
2019,Victim_Count_HateCrimeIncidents_BiasMotivationReligion,1715
2019,Offender_Count_HateCrimeIncidents_BiasMotivationReligion_KnownOffender,1012
2019,Count_HateCrimeIncidents_TargetedReligionJudaism,953
2019,Offense_Count_HateCrimeIncidents_TargetedReligionJudaism,995
2019,Victim_Count_HateCrimeIncidents_TargetedReligionJudaism,1032
