Year,Geo,StatVar,Quantity
2020,country/USA,Count_CriminalIncidents_IsHateCrime,8263
2020,geoId/01,Count_CriminalIncidents_IsHateCrime,27
2020,geoId/02,Count_CriminalIncidents_IsHateCrime,9
2020,geoId/04,Count_CriminalIncidents_IsHateCrime,280
2020,geoId/05,Count_CriminalIncidents_IsHateCrime,19
2020,geoId/06,Count_CriminalIncidents_IsHateCrime,1339
2020,geoId/08,Count_CriminalIncidents_IsHateCrime,281
2020,geoId/09,Count_CriminalIncidents_IsHateCrime,101
2020,geoId/10,Count_CriminalIncidents_IsHateCrime,13
2020,geoId/11,Count_CriminalIncidents_IsHateCrime,133
2020,geoId/12,Count_CriminalIncidents_IsHateCrime,109
2020,geoId/13,Count_CriminalIncidents_IsHateCrime,195
2020,geoId/15,Count_CriminalIncidents_IsHateCrime,36
2020,geoId/16,Count_CriminalIncidents_IsHateCrime,43
2020,geoId/17,Count_CriminalIncidents_IsHateCrime,56
2020,geoId/18,Count_CriminalIncidents_IsHateCrime,186
2020,geoId/19,Count_CriminalIncidents_IsHateCrime,15
2020,geoId/20,Count_CriminalIncidents_IsHateCrime,124
2020,geoId/21,Count_CriminalIncidents_IsHateCrime,166
2020,geoId/22,Count_CriminalIncidents_IsHateCrime,39
2020,geoId/23,Count_CriminalIncidents_IsHateCrime,83
2020,geoId/24,Count_CriminalIncidents_IsHateCrime,40
2020,geoId/25,Count_CriminalIncidents_IsHateCrime,310
2020,geoId/26,Count_CriminalIncidents_IsHateCrime,377
2020,geoId/27,Count_CriminalIncidents_IsHateCrime,194
2020,geoId/28,Count_CriminalIncidents_IsHateCrime,16
2020,geoId/29,Count_CriminalIncidents_IsHateCrime,115
2020,geoId/30,Count_CriminalIncidents_IsHateCrime,26
2020,geoId/31,Count_CriminalIncidents_IsHateCrime,72
2020,geoId/32,Count_CriminalIncidents_IsHateCrime,113
2020,geoId/33,Count_CriminalIncidents_IsHateCrime,19
2020,geoId/34,Count_CriminalIncidents_IsHateCrime,389
2020,geoId/35,Count_CriminalIncidents_IsHateCrime,55
2020,geoId/36,Count_CriminalIncidents_IsHateCrime,463
2020,geoId/37,Count_CriminalIncidents_IsHateCrime,185
2020,geoId/38,Count_CriminalIncidents_IsHateCrime,21
2020,geoId/39,Count_CriminalIncidents_IsHateCrime,538
2020,geoId/40,Count_CriminalIncidents_IsHateCrime,8
2020,geoId/41,Count_CriminalIncidents_IsHateCrime,280
2020,geoId/42,Count_CriminalIncidents_IsHateCrime,81
2020,geoId/44,Count_CriminalIncidents_IsHateCrime,14
2020,geoId/45,Count_CriminalIncidents_IsHateCrime,110
2020,geoId/46,Count_CriminalIncidents_IsHateCrime,17
2020,geoId/47,Count_CriminalIncidents_IsHateCrime,78
2020,geoId/48,Count_CriminalIncidents_IsHateCrime,406
2020,geoId/49,Count_CriminalIncidents_IsHateCrime,44
2020,geoId/50,Count_CriminalIncidents_IsHateCrime,60
2020,geoId/51,Count_CriminalIncidents_IsHateCrime,170
2020,geoId/53,Count_CriminalIncidents_IsHateCrime,451
2020,geoId/54,Count_CriminalIncidents_IsHateCrime,54
2020,geoId/55,Count_CriminalIncidents_IsHateCrime,72
2020,geoId/56,Count_CriminalIncidents_IsHateCrime,18
2019,country/USA,Count_CriminalIncidents_IsHateCrime,7314
2019,geoId/01,Count_CriminalIncidents_IsHateCrime,0
2019,geoId/02,Count_CriminalIncidents_IsHateCrime,11
2019,geoId/04,Count_CriminalIncidents_IsHateCrime,209
2019,geoId/05,Count_CriminalIncidents_IsHateCrime,9
2019,geoId/06,Count_CriminalIncidents_IsHateCrime,1015
2019,geoId/08,Count_CriminalIncidents_IsHateCrime,210
2019,geoId/09,Count_CriminalIncidents_IsHateCrime,76
2019,geoId/10,Count_CriminalIncidents_IsHateCrime,22
2019,geoId/11,Count_CriminalIncidents_IsHateCrime,222
2019,geoId/12,Count_CriminalIncidents_IsHateCrime,111
2019,geoId/13,Count_CriminalIncidents_IsHateCrime,102
2019,geoId/15,Count_CriminalIncidents_IsHateCrime,41
